"","K","lwr_CI","upr_CI",".fitted","genotype","treatment","rate.type","species"
"2349",299.347630051928,0.974401737132376,1.14532223923086,1.06583422406502,"SA2","shallow","GP","PAST"
"2350",299.417734000723,0.973892367258214,1.14616688382135,1.06568228981351,"SA2","shallow","GP","PAST"
"2351",299.487837949518,0.973362713697868,1.14691223159885,1.06545906683555,"SA2","shallow","GP","PAST"
"2352",299.557941898313,0.97281225201648,1.1475570422701,1.06516369949647,"SA2","shallow","GP","PAST"
"2353",299.628045847108,0.972240445032039,1.14810007858692,1.06479533248057,"SA2","shallow","GP","PAST"
"2354",299.698149795904,0.97164674255029,1.14854010713142,1.06435311118539,"SA2","shallow","GP","PAST"
"2355",299.768253744699,0.971030581096514,1.14887589911958,1.063836182125,"SA2","shallow","GP","PAST"
"2356",299.838357693494,0.970391383644294,1.14910623122258,1.06324369334202,"SA2","shallow","GP","PAST"
"2357",299.908461642289,0.969728559341364,1.14922988640529,1.06257479482814,"SA2","shallow","GP","PAST"
"2358",299.978565591084,0.969041503232702,1.14924565478112,1.06182863895294,"SA2","shallow","GP","PAST"
"2359",300.048669539879,0.968329595980977,1.14915233448265,1.06100438090062,"SA2","shallow","GP","PAST"
"2360",300.118773488675,0.967592203584524,1.1489487325469,1.06010117911449,"SA2","shallow","GP","PAST"
"2361",300.18887743747,0.966828677093009,1.14863366581463,1.05911819574873,"SA2","shallow","GP","PAST"
"2362",300.258981386265,0.966038352320963,1.14820596184259,1.05805459712724,"SA2","shallow","GP","PAST"
"2363",300.32908533506,0.965220549559387,1.14766445982752,1.05690955420911,"SA2","shallow","GP","PAST"
"2364",300.399189283855,0.964374573285644,1.14700801154115,1.0556822430603,"SA2","shallow","GP","PAST"
"2365",300.469293232651,0.963499711871847,1.14623548227473,1.05437184533125,"SA2","shallow","GP","PAST"
"2366",300.539397181446,0.962595237292025,1.14534575179196,1.05297754873987,"SA2","shallow","GP","PAST"
"2367",300.609501130241,0.961660404828287,1.14433771528909,1.05149854755945,"SA2","shallow","GP","PAST"
"2368",300.679605079036,0.960694452776309,1.14321028436079,1.04993404311114,"SA2","shallow","GP","PAST"
"2369",300.749709027831,0.959696602150412,1.14196238797036,1.04828324426034,"SA2","shallow","GP","PAST"
"2370",300.819812976627,0.958666056388572,1.14059297342286,1.04654536791665,"SA2","shallow","GP","PAST"
"2371",300.889916925422,0.957602001057706,1.13910100733956,1.04471963953666,"SA2","shallow","GP","PAST"
"2372",300.960020874217,0.956503603559584,1.13748547663231,1.04280529362924,"SA2","shallow","GP","PAST"
"2373",301.030124823012,0.955370012837776,1.13574538947594,1.04080157426254,"SA2","shallow","GP","PAST"
"2374",301.100228771807,0.954200359086026,1.13387977627731,1.03870773557228,"SA2","shallow","GP","PAST"
"2375",301.170332720602,0.952993753458503,1.13188769063906,1.03652304227061,"SA2","shallow","GP","PAST"
"2376",301.240436669398,0.951749287782389,1.12976821031656,1.03424677015502,"SA2","shallow","GP","PAST"
"2377",301.310540618193,0.950466034273287,1.12752043816596,1.03187820661654,"SA2","shallow","GP","PAST"
"2378",301.380644566988,0.949143045253969,1.12514350308192,1.02941665114665,"SA2","shallow","GP","PAST"
"2379",301.450748515783,0.947779352877003,1.12263656092282,1.02686141584232,"SA2","shallow","GP","PAST"
"2380",301.520852464578,0.946373968851851,1.11999879542194,1.02421182590827,"SA2","shallow","GP","PAST"
"2381",301.590956413373,0.944925884177004,1.11722941908242,1.021467220156,"SA2","shallow","GP","PAST"
"2382",301.661060362169,0.943434068877832,1.11432767405445,1.01862695149882,"SA2","shallow","GP","PAST"
"2383",301.731164310964,0.941897471750778,1.11129283299262,1.0156903874421,"SA2","shallow","GP","PAST"
"2384",301.801268259759,0.940315020114622,1.10812419989162,1.01265691056812,"SA2","shallow","GP","PAST"
"2385",301.871372208554,0.938685619569524,1.10482111089845,1.00952591901485,"SA2","shallow","GP","PAST"
"2386",301.941476157349,0.93700815376463,1.10138293509939,1.00629682694777,"SA2","shallow","GP","PAST"
"2387",302.011580106145,0.935096182523069,1.09806849027206,1.00296906502425,"SA2","shallow","GP","PAST"
